Normal,HLHS RAS,HLHS MS AS,HLHS MS AA,HLHS MA AA,HLHS DORV,TGA IVS,TGA VSD,TGA VSD PS,TGA VSD COA,TGA IVS COA,TOF ONLY,TOF PA,Ebstein's no Circular Shunt,Ebstein's Circular Shunt,TA VA Concordance,TA VA Discordance
454.639175257732,479,391.752577319588,412,480,405.154639175258,597.938144329897,370.103092783505,464.948453608247,452.577319587629,NaN,528.865979381443,482.474226804124,244.329896907216,215.463917525773,453.60824742268,NaN
460.824742268041,414,447.422680412371,429,422,460.824742268041,540.20618556701,500,432.989690721649,397.938144329897,NaN,567.010309278351,569.072164948454,222.680412371134,608.247422680412,430.927835051546,NaN
486.59793814433,390,570.103092783505,438,350,321.649484536082,521.649484536082,462.886597938144,NaN,535.051546391753,NaN,556.701030927835,588.659793814433,291.752577319588,368.041237113402,481.443298969072,NaN
560.824742268041,320,411.340206185567,366,414,409.278350515464,495.876288659794,502.061855670103,348.453608247423,540.20618556701,NaN,507.216494845361,286.59793814433,150.515463917526,308.247422680412,NaN,NaN
476.288659793814,NaN,472.164948453608,299,433,417.525773195876,705.154639175258,375.257731958763,440.20618556701,472.164948453608,NaN,401.030927835052,391.752577319588,255.670103092784,483.505154639175,400,NaN
394.845360824742,NaN,420.618556701031,420,358,NaN,490.721649484536,545.360824742268,NaN,501.030927835052,NaN,468.041237113402,362.886597938144,179.381443298969,NaN,NaN,NaN
501.030927835052,NaN,349.484536082474,373,596,NaN,788.659793814433,561.855670103093,NaN,582.474226804124,NaN,484.536082474227,271.134020618557,272.164948453608,NaN,NaN,NaN
406.185567010309,NaN,505.154639175258,261,514,NaN,778.350515463918,487.628865979381,NaN,NaN,NaN,362.886597938144,335.051546391753,NaN,NaN,NaN,NaN
463.917525773196,NaN,NaN,389,358,NaN,420.618556701031,316.494845360825,NaN,NaN,NaN,452.577319587629,378.350515463918,311.340206185567,NaN,NaN,NaN
481.443298969072,NaN,555.670103092784,NaN,330,NaN,361.855670103093,659.79381443299,NaN,NaN,NaN,408.247422680412,NaN,148.453608247423,NaN,NaN,NaN
427.835051546392,NaN,NaN,NaN,423,NaN,485.567010309278,330.927835051546,NaN,NaN,NaN,497.938144329897,NaN,155.670103092784,NaN,NaN,NaN
410.309278350515,NaN,NaN,NaN,422,NaN,443.298969072165,384.536082474227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
505.154639175258,NaN,NaN,NaN,367,NaN,467.010309278351,323.711340206186,NaN,NaN,NaN,538.144329896907,NaN,NaN,NaN,NaN,NaN
484.536082474227,NaN,NaN,NaN,419,NaN,589.690721649485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
535.051546391753,NaN,NaN,NaN,NaN,NaN,555.670103092784,NaN,NaN,NaN,NaN,445.360824742268,NaN,NaN,NaN,NaN,NaN
435.051546391753,NaN,NaN,NaN,NaN,NaN,597.938144329897,NaN,NaN,NaN,NaN,528.865979381443,NaN,NaN,NaN,NaN,NaN
437.113402061856,NaN,NaN,NaN,NaN,NaN,484.536082474227,NaN,NaN,NaN,NaN,508.247422680412,NaN,NaN,NaN,NaN,NaN
487.628865979381,NaN,NaN,NaN,NaN,NaN,370.103092783505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
517.525773195876,NaN,NaN,NaN,NaN,NaN,453.60824742268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
337.113402061856,NaN,NaN,NaN,NaN,NaN,321.649484536082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
456.701030927835,NaN,NaN,NaN,NaN,NaN,424.742268041237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
486.59793814433,NaN,NaN,NaN,NaN,NaN,623.711340206186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
504.123711340206,NaN,NaN,NaN,NaN,NaN,395.876288659794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
455.670103092784,NaN,NaN,NaN,NaN,NaN,564.948453608247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
456.701030927835,NaN,NaN,NaN,NaN,NaN,575.257731958763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
494.845360824742,NaN,NaN,NaN,NaN,NaN,413.40206185567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
380.412371134021,NaN,NaN,NaN,NaN,NaN,690.721649484536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
437.113402061856,NaN,NaN,NaN,NaN,NaN,625.773195876289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
527.835051546392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
455.670103092784,NaN,NaN,NaN,NaN,NaN,314.432989690722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
534.020618556701,NaN,NaN,NaN,NaN,NaN,250.515463917526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
545.360824742268,NaN,NaN,NaN,NaN,NaN,593.814432989691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
513.40206185567,NaN,NaN,NaN,NaN,NaN,620.618556701031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
454.639175257732,NaN,NaN,NaN,NaN,NaN,650.515463917526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
409.278350515464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
462.886597938144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
541.237113402062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
